id|language|text
noCompensarVivienda|EU|Zure aitorpeneko datuek adierazten dute ezin duzula konpentsaziorik egin eskualdaketen eta etxebizitzako diru-laguntzen gainean
compensarCapitalMobiliario|EU|Zure aitorpeneko datuek adierazten dute konpentsazioak egin ditzakezula kapital higigarriaren etekinen gainean
noCompensarCapitalMobiliario|EU|Zure aitorpeneko datuek adierazten dute ezin duzula konpentsaziorik egin kapital higigarriaren etekinen gainean
omitir|EU| Ez erantsi
omitir|ES| Omitir
err_SinDatosEconomicos|EU| Egitate ekonomiko bat gutxienez sartu behar duzu zure aitorpena egiten jarraitzeko
err_SinDatosEconomicos|ES| Tiene al menos que incluir un hecho economico para poder continuar con su declaración
seleccioneComoMinimoUnHecho|ES|Seleccione al menos un hecho económico de la lista.
seleccioneComoMinimoUnHecho|EU|Hauta ezazu zerrendako egitate ekonomiko bat gutxienez.
ignorarCuestion|ES|Ignorar cuestión
ignorarCuestion|EU|Ez egin kasurik
filavisos|ES|Se han detectado avisos en los familiares marcados en amarillo. Por favor, revise los avisos antes de continuar.
filavisos|EU|Abisu batzuk detektatu dira horiz markatutako ahaideetan. Aurrera egin baino lehen, mesedez, ikusi abisuak.
noPuedenExistirMasDeTresIncapacitados|ES|No pueden incluirse más de tres personas incapacitadas en la declaración.
noPuedenExistirMasDeTresIncapacitados|EU|Ezin dira aitorpenean sartu desgaitasuna duten hiru pertsona baino gehiago
noPuedenexistirMasDeDoceHijos|ES|No pueden incluirse más de doce hijos en la declaración.
noPuedenexistirMasDeDoceHijos|EU|Ezin dira aitorpenean sartu hamabi seme-alaba baino gehiago
confirmar|ES|Confirmar
confirmar|EU|Berretsi
05|ES|Rendimientos empresariales o agrícolas, ganaderos... (estimación directa)
05|EU|Etekinak, enpresakoak, nekazaritzakoak, abeltzaintzakoak... (balioespen zuzena)
05Apartado|ES|Rendimientos de actividades empresariales, agropecuarias y forestales.
05Apartado|EU| Etekinak, enpresako, nekazaritza eta abeltzaintzako eta basogintzako jarduerenak
RAEAFMatriz|ES|Rendimientos de actividades empresariales, agropecuarias y forestales
RAEAFMatriz|EU|Etekinak, enpresako, nekazaritza eta abeltzaintzako eta basogintzako jarduerenak
C020101|ES|Epígrafe Actividad
C020101|EU|Jardueraren epigrafea
C030001|ES|Epígrafe Act.
C030001|EU|Jardueraren epigrafea
C021801|ES|CI Entidad Act. 
C021801|EU|Jarduera. Entitatearen IK
C021901|ES|% participación Act. 
C021901|EU|Jarduera. Partaidetza %
06|ES|Rendimientos empresariales (estimación objetiva - módulos)
06|EU|Lanbideko etekinak (balioespen zuzena)
06Apartado|ES|Estimación objetiva. Ingresos.
06Apartado|EU|Balioespen objektiboa. Sarrerak
EOMatriz|ES|Estimación objetiva
EOMatriz|EU|Balioespen objektiboa
C033001|ES|CI Entidad Act. 1
C033001|EU|1. jarduera. Entitatearen IK
C033101|ES|% participación Act. 1
C033101|EU|1. jarduera. Partaidetza ehunekoa
07|ES|Rendimientos agrícolas, ganaderos... (estimación objetiva - módulos)
07|EU|Etekinak, nekazaritzakoak, abeltzaintzakoak... (balioespen objektiboa)
07Apartado|ES|Estimación objetiva actividades agricolas, ganaderas y forestales. EO. Ingresos.
07Apartado|EU|Nekazaritza, abeltzaintza, eta oihangintzako jardueretako balioespen objektiboa. Sarrerak.
EOAAGFMatriz|ES|Estimación objetiva de actividades agrícolas, ganaderas y forestales
EOAAGFMatriz|EU|Nekazaritza, abeltzaintza, eta oihangintzako jardueretako balioespen objektiboa.
C042901|ES|CI Entidad Act. 
C042901|EU|Jarduera. Entitatearen IK
C043001|ES|% participación Act. 
C043001|EU|Jarduera. Partaidetza %
08|ES|Reducciones: Sistemas de previsión social, aportaciones mutualidades a deportistas profesionales, pensiones compensatorias, patrimonio protegido...
08|EU|Murriztapenak: gizarte-aurreikuspeneko sistemak, kirolari profesionalek mutualitateei egindako ekarpenak , konpentsazioko pentsioak, ondare babestua...
08_01|ES|Liquidación parte general. Compensaciones
08_01|EU|Atal orokorreko likidazioa. Konpentsazioak
08_02|ES|Reducciones
08_02|EU|Murriztapenak
R000183|ES|Grado de discapacidad
R000183|EU|Minusbaliotasun maila
BSPSPP_AM|ES|Beneficiarios de las aportaciones. Aportaciones discapacitado
BSPSPP_AM|EU| Ekarpenen onuradunak Ekarpenak,  minusbaliatua
BSPSPP_AP|ES|Beneficiarios de las aportaciones... Aportaciones
BSPSPP_AP|EU|
BSPSPP_EA|ES|Beneficiarios de las aportaciones... Exceso aportaciones
BSPSPP_EA|EU|Ekarpenen onuradunak... Ekarpenen soberakinak
PP|ES|Perceptores de pensiones
PP|EU|Pentsioen hartzaileak
08_03|ES|Compensaciones de base liquidable
08_03|EU|Likidazio-oinarriaren konpentsazioak
09|ES|Rentas exentas
09|EU|Errenta salbuetsiak
09Apartado|ES|Rentas exentas
09Apartado|EU|Errenta salbuetsiak
10|ES|Remanente por mínimo personal, familiar y s.social a aplicar por el conyuge/mpe (opción conjunta)
10|EU|Soberakina, norberaren, familiaren eta gizarte segurantzaren gutxienekoagatik, ezkontideak/bikote egonkorreko kideak aplikatu beharrekoa (aitorpen bateratua)
11|ES|Aportaciones a mutualidades, planes de pensiones y asegurado, seguros dependencia
11|EU|Ekarpenak, mutualitateei, pentsio-planei,  asegurudunen planei eta mendekotasun aseguruei
11_11|ES|Excesos pendientes de aplicación
11_11|EU|Aplikatzeko dauden soberakinak
11_A4L|ES| 
11_A4L|EU| 
GFPAMMatriz|ES|Aportaciones a planes de pensiones y sistemas de previsión social, mutualidades y seguros de dependencia
GFPAMMatriz|EU|Aportaciones a planes de pensiones y sistemas de previsión social, mutualidades y seguros de dependencia_EUS
11_A5R|ES|Primas por seguros de dependencia severa o gran dependencia pagadas por el sujeto pasivo
11_A5R|EU|5. eranskina. R. Primak, mendekotasun larri edo oso larriko aseguruengatik, subjektu pasiboak ordainduak
11_A5RVector|ES|Propio Sujeto Pasivo
11_A5RVector|EU|Subjektu pasiboa bera
BSPDMatriz|ES|Otros beneficiarios
BSPDMatriz|EU|Beste onuradun batzuk
12|ES|Asignación tributaria
12|EU|Zerga-esleipena
12Apartado|ES|Asignación tributaria
12Apartado|EU|Zerga-esleipena
C054101_IglesiaCatolica|ES|Iglesia Católica
C054101_IglesiaCatolica|EU|Eliza Katolikoa
C054101_FinesSociales|ES|Fines sociales
C054101_FinesSociales|EU|Helburu sozialak
C054101_IglesiaCatolicaYFinesSociales|ES|Iglesia Católica y Fines sociales
C054101_IglesiaCatolicaYFinesSociales|EU|Eliza Katolikoa eta Helburu sozialak
C054101|ES|El 0,7 de mi cuota íntegra, destinarlo a:
C054101|EU|Nire kuotaren 0,7 erabil dadin:
13|ES|Deducciones
13|EU|Kenkariak
13_AEP|ES|Deducciones cuota - Por ejercicio de actividad empresarial o profesional  Autónomos
13_AEP|EU|Kenkariak kuotan - Enpresa edo lanbide  jardueran autonomo gisa aritzeagatik.
13_APS|ES|Anticipos pensiones de viudedad
13_APS|EU|Aurrerakinak, alargun-pentsioengatik
13_AV|ES|Arrendamiento de vivienda habitual
13_AV|EU|Etxebizitzaren errentamendua
DE_ARRMatriz|ES|Deducciones. Arrendadores
DE_ARRMatriz|EU|Kenkariak. Errentatzaileak
13_CE|ES|Deducción por creación de empleo
13_CE|EU|Kenkariak guztira, enplegua sortzeagatik
13_CM|ES|Rentas en Ceuta y Melilla, y otras deducciones
13_CM|EU|Errentak Ceutan eta Melillan, eta beste kenkari batzuk
13_D|ES|Donaciones
13_D|EU|Dohaintzak
DE_DOMatriz|ES|Deducciones. Donativos
DE_DOMatriz|EU|Kenkariak. Dohaintzak
13_DII|ES|Doble imposición internacional
13_DII|EU|Nazioarteko zergapetze bikoitza
13_DIIMatriz|ES|Doble imposición internacional
13_DIIMatriz|EU|Nazioarteko zergapetze bikoitza
