id;description;type;enum;format;minimum;exclusiveMinimum;maximum;exclusiveMaximum;minLength;maxLength;uniqueItems;minItems;multipleOf;maxItems;properties;required;discriminator;oneOf;allOf;readOnly;menuItem;expandible
A1CApartado;Apartado;object;;;;;;;;;;;;;FIMatriz;;;;;;false;false
A1DApartado;Apartado;object;;;;;;;;;;;;;C076901,C077801;;;;;;false;false
A1EApartado;Apartado;object;;;;;;;;;;;;;C077001,C077101,C077201;C077001;;;;;false;false
A1FApartado;Apartado;object;;;;;;;;;;;;;PYOMatriz;;;;;;false;false
A2GApartado;Apartado;object;;;;;;;;;;;;;D000161,D000261,D000361,D000461,E000171,E000271,E000371,E000471;;;;;;false;false
A2H13Apartado;Apartado;object;;;;;;;;;;;;;E000181,E000281,E000381,E000481,D000151,D000251,D000351,D000451;;;;;;true;true
A2H24Apartado;Apartado;object;;;;;;;;;;;;;D000171,D000271,D000371,E000101,E000201,E000301,E000401,D000181,D000281,D000381,D000481;;;;;;true;true
A4QApartado;Apartado;object;;;;;;;;;;;;;C063501,C063901,C064001,C064101,C093601,C093701,C093801,C093901,C094001,C094101,C094201,C094301,C094401,C094501,C638601,C638701,C639001,C639101,C639201,C639301,E959001,E959101,E959201,E959301,E959401,E959501,E959601,E959701,E959801,E959901,E960001,E960101,E960201,E960301,E960401,E960501,E960601,E960701,E960801,E960901,C095701;;;;;;false;false
A5TApartado;Apartado;object;;;;;;;;;;;;;IRMatriz;;;;;;false;false
A5UApartado;Apartado;object;;;;;;;;;;;;;PFMatriz;;;;;;false;false
A5VApartado;Apartado;object;;;;;;;;;;;;;PensMatriz,S082531,C082101;;;;;;false;false
PensMatriz;Matriz;array;;;;;;;;;true;0;;4;PensVector;;;;;;false;false
PensVector;Vector;object;;;;;;;;;;;;;S001131,S002131,S003131,S004131,S005131,S006131;;;;;;false;false
A6RRApartado;Apartado;object;;;;;;;;;;;;;B026801,B046801,X000111,X000211,C016901,C047001;;;;;;false;false
hechosEconomicos;DefinicionImpuesto;object;;;;;;;;;;;;;01,02B,02A,03,04,05,06,07,08,08_03,09,12,13,13_CE,13_FE,13B,A1A,A1B,A1C,A1D,A1E,A1F,A2G,A2H13Apartado,A2H24Apartado,A3I,A3J,A4Q,A5T,A5U,A5V,A5X,A6RR,datosIncorporados;;;;;;true;false
A1A_BAMatriz;Matriz;array;;;;;;;;;true;0;;99;A1A_BAVector;;;;;;false;false
A1A_IOMatriz;Matriz;array;;;;;;;;;true;0;;99;A1A_IOVector;;;;;;false;false
BSPDMatriz;Matriz;array;;;;;;;;;true;0;;2;BSPDVector;;;;;;false;false
BSPSPP_AMMatriz;Matriz;array;;;;;;;;;true;0;;4;BSPSPP_AMVector;;;;;;false;false
BSPSPP_APMatriz;Matriz;array;;;;;;;;;true;0;;2;BSPSPP_APVector;;;;;;false;false
DE_ARRMatriz;Matriz;array;;;;;;;;;true;0;;4;DE_ARRVector;;;;;;false;false
DE_DOMatriz;Matriz;array;;;;;;;;;true;0;;4;DE_DOVector;;;;;;false;false
EOAAGFMatriz;Matriz;array;;;;;;;;;true;0;;99;EOAAGFVector;;;;;;false;false
EOMatriz;Matriz;array;;;;;;;;;true;0;;99;EOVector;;;;;;false;false
FIMatriz;Matriz;array;;;;;;;;;true;0;;4;FIVector;;;;;;false;false
GFPAMMatriz;Matriz;array;;;;;;;;;true;0;;3;GFPAMVector;;;;;;false;false
IRMatriz;Matriz;array;;;;;;;;;true;0;;3;IRVector;;;;;;false;false
PFMatriz;Matriz;array;;;;;;;;;true;0;;99;PFVector;;;;;;false;false
PPMatriz;Matriz;array;;;;;;;;;true;0;;2;PPVector;;;;;;false;false
PYOMatriz;Matriz;array;;;;;;;;;true;0;;99;PYOVector;;;;;;false;false
RAEAFMatriz;Matriz;array;;;;;;;;;true;0;;99;RAEAFVector;;;;;;false;false
RAPMatriz;Matriz;array;;;;;;;;;true;0;;99;RAPVector;;;;;;false;false
RCI_RETMatriz;Matriz;array;;;;;;;;;true;0;;5;RCI_RETVector;;;;;;false;false
RT_APORMatriz;Matriz;array;;;;;;;;;true;0;;6;RT_APORVector;;;;;;false;false
02B;Seccion;object;;;;;;;;;;;;;02B_01,02B_02;;;;;;true;false
02A;Seccion;object;;;;;;;;;;;;;02A_01,02A_02,02A_03;;;;;;true;false
03;Seccion;object;;;;;;;;;;;;;03_01,03_02,03_03;;;;;;true;true
04;Seccion;object;;;;;;;;;;;;;04Apartado;;;;;;true;true
05;Seccion;object;;;;;;;;;;;;;05Apartado;;;;;;true;true
06;Seccion;object;;;;;;;;;;;;;06Apartado;;;;;;true;true
07;Seccion;object;;;;;;;;;;;;;07Apartado;;;;;;true;true
08;Seccion;object;;;;;;;;;;;;;08_02;;;;;;true;false
09;Seccion;object;;;;;;;;;;;;;09Apartado;;;;;;true;true
11;Seccion;object;;;;;;;;;;;;;11_A4L,11_11,11_A5R;;;;;;true;true
12;Seccion;object;;;;;;;;;;;;;12Apartado;;;;;;false;false
A3I;Seccion;object;;;;;;;;;;;;;A3I_0101,A3I_0102,A3I_02,A3I_0301,A3I_0302,A3I_050101,A3I_0502;;;;;;true;false
A3I_0101;Apartado;object;;;;;;;;;;;;;C090001,C096701,C090401;C090001;;;;;true;true
A3I_0102;Apartado;object;;;;;;;;;;;;;C090501,C096801,C090901;C090501;;;;;true;true
A3I_02;Apartado;object;;;;;;;;;;;;;C191601,C191801;C191601;;;;;true;true
A3I_0301;Apartado;object;;;;;;;;;;;;;C091001,C091101,C091601,C091701,C091801,E000111,E000211,E000311,E000411,E000511,E000611,E000711,E000811,E000911,E001011,E001111;;;;;;true;true
A3I_0302;Apartado;object;;;;;;;;;;;;;C091301,C091401,C092001,C092101,C092201,E000121,E000221,E000321,E000421,E000521,E000621,E000721,E000821,E000921,E001021,E001121;;;;;;true;true
A3I_050101;Apartado;object;;;;;;;;;;;;;C092401,C092501,C092601,C092701,C096901,C092901,A000501,A000601,A000101,A000201,A000301,IBAN0,A000401,A000402,A000403,A000404,C192401,C192501,C192601,C192701,C196901,C192901,C192801,A000511,A000611,A000111,A000211,A000311,IBAN1,A000411,A000412,A000413,A000414;C092401,C092501,C092701,C096901,A000101,A000301;;;;;true;true
A3I_0502;Apartado;object;;;;;;;;;;;;;C093001,C093101,C093201,C093301,C097001,C093501,A000521,A000621,A000121,A000221,A000321;C093001,C093101,C093301,C097001,A000121,A000321;A000321;A3I_0502Si,A3I_0502No;;;true;true
A3I_0502Si;;object;;;;;;;;;;;;;A000321:A000321E_Si,IBAN2,A000421,A000422,A000423,A000424;A000321,IBAN2,A000421,A000422,A000423,A000424;;;;;false;false
A3I_0502No;;object;;;;;;;;;;;;;A000321:A000321E_No;A000321;;;;;false;false
A3J;Seccion;object;;;;;;;;;;;;;A3JApartado;;;;;;true;true
A3JApartado;Apartado;object;;;;;;;;;;;;;C097201,C097401,C097601,E000131,E000231,C197801,C978101,C978201,C978301;;;;;;false;false
13;Seccion;object;;;;;;;;;;;;;475Vector,1482Vector,13_AV,13_RT,13_AEP,13_D,13_BM,13_SPP,13_DII,13_SVI,13_CM;;;;;;true;false
13B;Seccion;object;;;;;;;;;;;;;13_PBI,13_PF,13_PV,13_APS,13_IAE;;;;;;true;false
A1A;Seccion;object;;;;;;;;;;;;;A1A_VH,A1A_IO,A1A_BA;;;;;;true;false
A1B;Seccion;object;;;;;;;;;;;;;A1BApartado;;;;;;true;true
A1C;Seccion;object;;;;;;;;;;;;;A1CApartado;;;;;;true;true
A1D;Seccion;object;;;;;;;;;;;;;A1DApartado;;;;;;true;true
A1E;Seccion;object;;;;;;;;;;;;;A1EApartado;;;;;;true;true
A1F;Seccion;object;;;;;;;;;;;;;A1FApartado;;;;;;true;true
A2G;Seccion;object;;;;;;;;;;;;;A2GApartado;;;;;;true;true
A4Q;Seccion;object;;;;;;;;;;;;;A4QApartado;;;;;;true;true
A5T;Seccion;object;;;;;;;;;;;;;A5TApartado;;;;;;true;true
A5U;Seccion;object;;;;;;;;;;;;;A5UApartado;;;;;;true;true
A5V;Seccion;object;;;;;;;;;;;;;A5VApartado;;;;;;true;true
A6RR;Seccion;object;;;;;;;;;;;;;A6RRApartado;;;;;;true;true
0042Vector;Vector;object;;;;;;;;;;;;;C004202,C004201;;;;;;false;true
0047Vector;Vector;object;;;;;;;;;;;;;C004701;;;;;;false;false
0048Vector;Vector;object;;;;;;;;;;;;;C004801;;;;;;false;false
0051Vector;Vector;object;;;;;;;;;;;;;C005102,C005101;;;;;;false;true
0164Vector;Vector;object;;;;;;;;;;;;;C016401;;;;;;false;false
03_02Vector;Vector;object;;;;;;;;;;;;;C007101;;;;;;false;false
03_02Vectorg;Vector;object;;;;;;;;;;;;;C007501,C007502,C007601,C007701,C109001,C109002,C007801,C109501,C109502,C798001,C016501;;;;;;false;false
1482Vector;Vector;object;;;;;;;;;;;;;D000121,D000221,OtrosFamiliaresMatriz;;;;;;false;true
OtrosFamiliaresMatriz;Matriz;array;;;;;;;;;true;0;;4;OtrosFamiliaresVector;;;;;;false;false
OtrosFamiliaresVector;Vector;object;;;;;;;;;;;;;J001121,J002121,J003121,J004121,J005121,J006121,J007121,J008121;;;;;;false;false
04ApartadoVector;Vector;object;;;;;;;;;;;;;C016001,C017001;;;;;;false;false
08_03Vector;Vector;object;;;;;;;;;;;;;D000001,D000101,D000141,D000201,D000241,D000301,D000341,D000441,E000191,E000291,E000391,E000491;;;;;;false;false
081Vector;Vector;object;;;;;;;;;;;;;R000181;;;;;;false;false
1037Vector;Vector;object;;;;;;;;;;;;;C103702,C103701;;;;;;false;true
1041Vector;Vector;object;;;;;;;;;;;;;C104102,C104101;;;;;;false;true
02A_02;Apartado;object;;;;;;;;;;;;;0048Vector;;;;;;true;true
02A_03;Apartado;object;;;;;;;;;;;;;0164Vector;;;;;;true;true
11_A5RVector;Vector;object;;;;;;;;;;;;;R000131;;;;;;false;false
475Vector;Vector;object;;;;;;;;;;;;;D051224,D051221,D051222,D051223,D051225;;;;;;true;true
590Vector;Vector;object;;;;;;;;;;;;;C059001;;;;;;false;true
0031Vector;Vector;object;;;;;;;;;;;;;C003102,C003101;;;;;;false;true
1031Vector;Vector;object;;;;;;;;;;;;;C103102,C103101;;;;;;false;true
0037Vector;Vector;object;;;;;;;;;;;;;C003702,C003701;;;;;;false;true
0040Vector;Vector;object;;;;;;;;;;;;;C004002,C004001;;;;;;false;true
0041Vector;Vector;object;;;;;;;;;;;;;C004102,C004101;;;;;;false;true
1042Vector;Vector;object;;;;;;;;;;;;;C104201;;;;;;false;true
0045Vector;Vector;object;;;;;;;;;;;;;C004501;;;;;;false;true
0039Vector;Vector;object;;;;;;;;;;;;;C003901;;;;;;false;true
5921Vector;Vector;object;;;;;;;;;;;;;C084501,C592101;;;;;;false;true
02B_02;Apartado;object;;;;;;;;;;;;;0047Vector;;;;;;true;true
A1A_VH;Apartado;object;;;;;;;;;;;;;C065001,C065101,C665201,C065201,C065301,C065401,C077301,Q000111,C165801,C077401,C077501;C065001,C065101,C065201,C065301,C065401;;;;;true;true
BSPDVector;Vector;object;;;;;;;;;;;;;R001231,R002231,R003231,R004231,R005231,R006231;R001231,R002231,R006231;;;;;false;false
BSPSPP_AMVector;Vector;object;;;;;;;;;;;;;R001281,R002281,R003281,R004281,R005281,R006281;R001281,R002281,R006281;;;;;false;false
BSPSPP_APVector;Vector;object;;;;;;;;;;;;;R001111,R002111,R003111,R004111,R005111,R006111;R001111,R002111,R006111;;;;;false;false
BSPSPP_EAVector;Vector;object;;;;;;;;;;;;;S000131,S000231,S000331,S000431,S000531,R006411;;;;;;false;false
DE_ARRVector;Vector;object;;;;;;;;;;;;;S001111,S002111,S003111,S004111,S005111;S001111,S002111,S005111;;;;;false;false
DE_DOVector;Vector;object;;;;;;;;;;;;;J001111,J002111,J003111,J004111;J001111,J002111,J003111,J004111;;;;;false;false
FIVector;Vector;object;;;;;;;;;;;;;O000171,C071001,C071101,C072001;O000171,C072001;;;;;false;false
GFPAMVector;Vector;object;;;;;;;;;;;;;R001191,R002191,R003191;R001191,R002191,R003191;;;;;false;false
IRVector;Vector;object;;;;;;;;;;;;;Q000101,Q000201,Q000301,Q000401,Q000501,Q000701,Q000801,Q000901;;;;;;false;false
PFVector;Vector;object;;;;;;;;;;;;;Q000121,Q000221,Q000321,Q000421;;;;;;false;false
PPVector;Vector;object;;;;;;;;;;;;;S001101,S002101,S003101,S004101,S005101;S001101,S002101,S005101;;;;;false;true
PYOVector;Vector;object;;;;;;;;;;;;;Q000131,Q000231,Q000331,Q000431,Q000531,Q000631;;;;;;false;false
RAEAFVector;Vector;object;;;;;;;;;;;;;O000121,O000221,O000321,O000421,O000521,O000621,O000721,C020201,C020301,C020401,C020501,C020701,C020801,C020901,C021001,C021101,C021201,C021301,C220001;O000121,O000221,O000321,O000521,O000621;;;;;false;false
RAPVector;Vector;object;;;;;;;;;;;;;O000111,O000211,O000311,O000411,O000511,O000611,C010201,C010301,C010401,C010501,C010601,C010701,C010801,C010901,C011001,C011101,C016601,C118001;O000111,O000211,O000411,O000511;;;;;false;false
RCI_RETVector;Vector;object;;;;;;;;;;;;;S001121,S002121,S003121,S004121,S005121;S001121,S002121;;;;;false;false
RT_APORVector;Vector;object;;;;;;;;;;;;;R001151,R002151,R003151,R004151;R001151,R002151,R003151;;;;;false;false
declaracion;Declaracion;object;;;;;;;;;;;;;declarante,descendientesHijosIncapacitados,ascendientes,asistidos,entrega,estadoCivil,regimenEconomico,familiaNumerosa,modalidad,liquidacion,IBANEntrega,EntidadEntrega,SucursalEntrega,DCEntrega,NCuentaEntrega;declarante,estadoCivil,modalidad,familiaNumerosa;estadoCivil;soltero,pareja;;;false;false
